Locality,Yes,No
Winchester,"5,503","7,262"
Woburn,"10,093","10,343"
Nantucket,"4,084","2,320"
Avon,"1,235","1,206"
Bellingham,"5,036","3,859"
Braintree,"9,251","10,985"
Brookline,"17,803","11,066"
Canton,"6,000","6,851"
Cohasset,"2,178","2,804"
Dedham,"7,171","7,142"
Dover,"1,579","2,044"
Foxborough,"5,011","5,226"
Franklin,"9,204","8,994"
Holbrook,"2,883","2,781"
Medfield,"3,424","4,207"
Medway,"4,184","3,498"
Millis,"2,594","2,401"
Milton,"7,259","8,772"
Needham,"8,203","9,964"
Norfolk,"2,978","3,083"
Norwood,"7,409","8,336"
Plainville,"2,648","2,286"
Quincy,"21,220","20,279"
Randolph,"7,423","7,177"
Sharon,"5,469","4,886"
Stoughton,"7,195","6,932"
Walpole,"6,381","8,296"
Wellesley,"6,331","8,714"
Westwood,"3,895","5,445"
Weymouth,"14,624","14,775"
Wrentham,"3,295","3,424"
Abington,"4,627","4,158"
Bridgewater,"6,401","6,559"
Brockton,"17,761","16,624"
Carver,"3,361","2,917"
Duxbury,"4,330","5,655"
E. Bridgewater,"4,078","3,843"
Halifax,"2,357","2,093"
Hanover,"3,620","5,085"
Hanson,"3,061","3,010"
Hingham,"6,135","8,482"
Hull,"3,782","2,616"
Kingston,"3,725","3,914"
Lakeville,"3,170","3,250"
Marion,"1,631","1,617"
Marshfield,"7,774","7,947"
Mattapoisett,"2,073","2,200"
Middleborough,"6,554","5,933"
Norwell,"3,045","3,659"
Pembroke,"5,179","5,320"
Plymouth,"16,981","15,671"
Plympton,951,798
Rochester,"1,756","1,645"
Rockland,"5,024","4,453"
Scituate,"5,681","6,262"
Wareham,"6,490","4,826"
W. Bridgewater,"2,052","2,108"
Whitman,"4,340","3,634"
Boston,"166,697","99,628"
Chelsea,"4,921","3,985"
Revere,"9,197","10,228"
Winthrop,"5,072","4,435"
Ashburnham,"1,918","1,445"
Athol,"2,828","2,166"
Auburn,"4,718","4,612"
Barre,"1,668","1,225"
Berlin,"1,051",867
Blackstone,"2,670","1,908"
Bolton,"1,738","1,574"
Boylston,"1,400","1,419"
Brookfield,"1,017",793
Charlton,"3,762","3,466"
Clinton,"4,009","3,107"
Douglas,"2,795","2,116"
Dudley,"2,804","2,621"
E. Brookfield,614,581
Fitchburg,"8,776","6,664"
Gardner,"4,787","3,815"
Grafton,"5,320","4,874"
Hardwick,762,647
Harvard,"1,958","1,776"
Holden,"5,461","5,860"
Hopedale,"1,804","1,651"
Hubbardston,"1,539","1,192"
Lancaster,"1,987","1,990"
Leicester,"3,056","2,694"
Leominster,"10,014","9,545"
Lunenburg,"3,377","2,971"
Mendon,"1,849","1,690"
Milford,"6,968","6,441"
Millbury,"3,819","3,370"
Millville,955,646
New Braintree,329,275
N. Brookfield,"1,461","1,100"
Northborough,"4,440","4,531"
Northbridge,"4,217","4,103"
Oakham,616,504
Oxford,"3,806","3,139"
Paxton,"1,235","1,446"
Petersham,466,329
Phillipston,611,412
Princeton,"1,290","1,039"
Royalston,385,288
Rutland,"2,415","2,469"
Shrewsbury,"8,324","10,508"
Southborough,"2,789","3,223"
Southbridge,"3,801","3,013"
Spencer,"3,089","2,693"
Sterling,"2,468","2,544"
Sturbridge,"2,821","2,610"
Sutton,"2,799","2,864"
Templeton,"2,143","1,875"
Upton,"2,541","2,083"
Uxbridge,"4,201","3,520"
Warren,"1,334","1,025"
Webster,"4,007","3,252"
W. Boylston,"2,084","2,262"
W. Brookfield,"1,113",965
Westborough,"4,561","5,044"
Westminster,"2,323","2,262"
Winchendon,"2,735","1,823"
Worcester,"35,305","29,050"
